order_id,order_detail_id,customer_id,product_id,order_date,quantity,unit_price,discount,sales_before_discount,discount_amount,net_sales_amount,total_cost,gross_profit
19,63,62,45,2025-10-24,10,91.45,0.0500,914.50,45.73,868.78,634.70,234.08
19,64,62,40,2025-10-24,3,100.37,0.0500,301.11,15.06,286.05,163.17,122.88
20,65,2,28,2025-10-23,9,42.75,0.0500,384.75,19.24,365.51,198.36,167.15
20,66,2,25,2025-10-23,6,63.61,0.0000,381.66,0.00,381.66,231.60,150.06
20,67,2,12,2025-10-23,7,181.74,0.1000,1272.18,127.22,1144.96,689.29,455.67
20,68,2,1,2025-10-23,10,17.01,0.0500,170.10,8.51,161.60,126.10,35.50
20,69,2,47,2025-10-23,4,105.63,0.1000,422.52,42.25,380.27,268.80,111.47
21,70,74,18,2025-10-24,7,121.61,0.1000,851.27,85.13,766.14,456.82,309.32
21,72,74,3,2025-10-24,10,47.57,0.0500,475.70,23.79,451.92,283.90,168.02
21,73,74,46,2025-10-24,6,46.34,0.0000,278.04,0.00,278.04,203.22,74.82
21,74,74,38,2025-10-24,8,100.72,0.1000,805.76,80.58,725.18,500.72,224.46
22,75,52,10,2025-10-25,9,168.80,0.0500,1519.20,75.96,1443.24,798.12,645.12
23,76,16,34,2025-10-24,2,100.21,0.1000,200.42,20.04,180.38,131.88,48.50
23,77,16,40,2025-10-24,2,100.37,0.0000,200.74,0.00,200.74,108.78,91.96
23,78,16,31,2025-10-24,2,129.50,0.1000,259.00,25.90,233.10,165.16,67.94
23,79,16,41,2025-10-24,9,90.07,0.1000,810.63,81.06,729.57,413.73,315.84
24,80,40,40,2025-10-23,1,100.37,0.0500,100.37,5.02,95.35,54.39,40.96
24,81,40,35,2025-10-23,1,121.77,0.0500,121.77,6.09,115.68,94.23,21.45
24,82,40,30,2025-10-23,9,165.77,0.0500,1491.93,74.60,1417.33,790.74,626.59
25,83,23,47,2025-10-23,6,105.63,0.0500,633.78,31.69,602.09,403.20,198.89
25,84,23,23,2025-10-23,5,56.53,0.0500,282.65,14.13,268.52,229.15,39.37
25,85,23,11,2025-10-23,1,37.31,0.1000,37.31,3.73,33.58,19.99,13.59
25,86,23,39,2025-10-23,5,28.49,0.1000,142.45,14.25,128.21,115.30,12.91
25,87,23,37,2025-10-23,5,91.07,0.0000,455.35,0.00,455.35,308.35,147.00
26,88,37,38,2025-10-25,3,100.72,0.1000,302.16,30.22,271.94,187.77,84.17
26,89,37,4,2025-10-25,5,74.72,0.1000,373.60,37.36,336.24,224.15,112.09
26,90,37,40,2025-10-25,1,100.37,0.0500,100.37,5.02,95.35,54.39,40.96
26,91,37,32,2025-10-25,2,45.24,0.0000,90.48,0.00,90.48,52.36,38.12
27,92,29,5,2025-10-24,5,127.88,0.0500,639.40,31.97,607.43,469.00,138.43
27,93,29,9,2025-10-24,10,89.98,0.0500,899.80,44.99,854.81,560.80,294.01
27,94,29,18,2025-10-24,5,121.61,0.0000,608.05,0.00,608.05,326.30,281.75
27,95,29,48,2025-10-24,2,98.28,0.1000,196.56,19.66,176.90,107.12,69.78
27,96,29,12,2025-10-24,10,181.74,0.1000,1817.40,181.74,1635.66,984.70,650.96
28,97,57,43,2025-10-23,8,52.49,0.0500,419.92,21.00,398.92,275.04,123.88
28,98,57,12,2025-10-23,5,181.74,0.1000,908.70,90.87,817.83,492.35,325.48
29,99,95,32,2025-10-23,3,45.24,0.1000,135.72,13.57,122.15,78.54,43.61
29,100,95,3,2025-10-23,6,47.57,0.0000,285.42,0.00,285.42,170.34,115.08
30,101,87,39,2025-10-22,3,28.49,0.0500,85.47,4.27,81.20,69.18,12.02
30,102,87,49,2025-10-22,7,55.32,0.0500,387.24,19.36,367.88,223.72,144.16
31,103,63,43,2025-10-22,8,52.49,0.1000,419.92,41.99,377.93,275.04,102.89
31,104,63,41,2025-10-22,3,90.07,0.0000,270.21,0.00,270.21,137.91,132.30
32,105,64,47,2025-10-22,6,105.63,0.0000,633.78,0.00,633.78,403.20,230.58
32,106,64,42,2025-10-22,5,65.41,0.0000,327.05,0.00,327.05,174.10,152.95
32,107,64,4,2025-10-22,3,74.72,0.0500,224.16,11.21,212.95,134.49,78.46
32,108,64,26,2025-10-22,8,147.88,0.0500,1183.04,59.15,1123.89,609.60,514.29
32,109,64,31,2025-10-22,9,129.50,0.0000,1165.50,0.00,1165.50,743.22,422.28
33,110,99,44,2025-10-25,7,78.05,0.0500,546.35,27.32,519.03,403.69,115.34
33,111,99,17,2025-10-25,3,55.59,0.1000,166.77,16.68,150.09,86.58,63.51
33,112,99,28,2025-10-25,1,42.75,0.0500,42.75,2.14,40.61,22.04,18.57
33,113,99,29,2025-10-25,7,55.53,0.1000,388.71,38.87,349.84,212.45,137.39
34,114,97,34,2025-10-22,1,100.21,0.0000,100.21,0.00,100.21,65.94,34.27
34,115,97,35,2025-10-22,6,121.77,0.0500,730.62,36.53,694.09,565.38,128.71
34,116,97,40,2025-10-22,5,100.37,0.0500,501.85,25.09,476.76,271.95,204.81
35,117,63,18,2025-10-23,2,121.61,0.0500,243.22,12.16,231.06,130.52,100.54
35,118,63,42,2025-10-23,10,65.41,0.0500,654.10,32.71,621.40,348.20,273.20
35,119,63,30,2025-10-23,4,165.77,0.1000,663.08,66.31,596.77,351.44,245.33
36,120,29,50,2025-10-22,4,27.21,0.1000,108.84,10.88,97.96,55.48,42.48
36,121,29,22,2025-10-22,3,12.60,0.0500,37.80,1.89,35.91,25.26,10.65
36,122,29,36,2025-10-22,1,119.52,0.1000,119.52,11.95,107.57,60.16,47.41
36,123,29,1,2025-10-22,2,17.01,0.0000,34.02,0.00,34.02,25.22,8.80
36,124,29,27,2025-10-22,2,180.68,0.1000,361.36,36.14,325.22,195.48,129.74
37,125,62,44,2025-10-25,8,78.05,0.0500,624.40,31.22,593.18,461.36,131.82
38,126,36,47,2025-10-24,5,105.63,0.0500,528.15,26.41,501.74,336.00,165.74
38,127,36,13,2025-10-24,1,112.51,0.0000,112.51,0.00,112.51,68.45,44.06
39,128,63,6,2025-10-26,1,39.45,0.1000,39.45,3.95,35.51,30.23,5.28
39,129,63,43,2025-10-26,4,52.49,0.1000,209.96,21.00,188.96,137.52,51.44
39,130,63,41,2025-10-26,2,90.07,0.1000,180.14,18.01,162.13,91.94,70.19
39,131,63,8,2025-10-26,2,97.01,0.1000,194.02,19.40,174.62,97.08,77.54
39,132,63,9,2025-10-26,7,89.98,0.1000,629.86,62.99,566.87,392.56,174.31
40,133,25,12,2025-10-25,2,181.74,0.1000,363.48,36.35,327.13,196.94,130.19
40,134,25,12,2025-10-25,5,181.74,0.0500,908.70,45.44,863.27,492.35,370.92
40,135,25,30,2025-10-25,2,165.77,0.1000,331.54,33.15,298.39,175.72,122.67
40,136,25,30,2025-10-25,5,165.77,0.0500,828.85,41.44,787.41,439.30,348.11
40,137,25,45,2025-10-25,6,91.45,0.0500,548.70,27.44,521.27,380.82,140.45
41,138,84,50,2025-10-22,2,27.21,0.0500,54.42,2.72,51.70,27.74,23.96
41,139,84,50,2025-10-22,1,27.21,0.0500,27.21,1.36,25.85,13.87,11.98
42,140,2,22,2025-10-22,1,12.60,0.0500,12.60,0.63,11.97,8.42,3.55
42,141,2,17,2025-10-22,3,55.59,0.0500,166.77,8.34,158.43,86.58,71.85
42,142,2,5,2025-10-22,8,127.88,0.0000,1023.04,0.00,1023.04,750.40,272.64
42,143,2,40,2025-10-22,7,100.37,0.0000,702.59,0.00,702.59,380.73,321.86
43,144,87,7,2025-10-22,3,63.12,0.1000,189.36,18.94,170.42,105.12,65.30
43,145,87,50,2025-10-22,7,27.21,0.0000,190.47,0.00,190.47,97.09,93.38
43,146,87,40,2025-10-22,2,100.37,0.0500,200.74,10.04,190.70,108.78,81.92
43,147,87,46,2025-10-22,5,46.34,0.0000,231.70,0.00,231.70,169.35,62.35
44,148,96,5,2025-10-25,2,127.88,0.1000,255.76,25.58,230.18,187.60,42.58
45,149,8,50,2025-10-24,8,27.21,0.0000,217.68,0.00,217.68,110.96,106.72
45,150,8,32,2025-10-24,3,45.24,0.1000,135.72,13.57,122.15,78.54,43.61
45,151,8,41,2025-10-24,1,90.07,0.0000,90.07,0.00,90.07,45.97,44.10
46,152,11,18,2025-10-23,3,121.61,0.1000,364.83,36.48,328.35,195.78,132.57
46,153,11,22,2025-10-23,7,12.60,0.1000,88.20,8.82,79.38,58.94,20.44
46,154,11,1,2025-10-23,9,17.01,0.1000,153.09,15.31,137.78,113.49,24.29
46,155,11,50,2025-10-23,8,27.21,0.0500,217.68,10.88,206.80,110.96,95.84
47,156,59,26,2025-10-25,2,147.88,0.1000,295.76,29.58,266.18,152.40,113.78
47,157,59,15,2025-10-25,1,51.99,0.0500,51.99,2.60,49.39,30.87,18.52
47,158,59,45,2025-10-25,8,91.45,0.0000,731.60,0.00,731.60,507.76,223.84
47,159,59,37,2025-10-25,9,91.07,0.0500,819.63,40.98,778.65,555.03,223.62
48,160,55,44,2025-10-25,5,78.05,0.0500,390.25,19.51,370.74,288.35,82.39
48,161,55,4,2025-10-25,2,74.72,0.0500,149.44,7.47,141.97,89.66,52.31
48,162,55,35,2025-10-25,6,121.77,0.0000,730.62,0.00,730.62,565.38,165.24
49,163,38,49,2025-10-26,5,55.32,0.1000,276.60,27.66,248.94,159.80,89.14
49,164,38,13,2025-10-26,3,112.51,0.1000,337.53,33.75,303.78,205.35,98.43
49,165,38,3,2025-10-26,7,47.57,0.1000,332.99,33.30,299.69,198.73,100.96
49,166,38,13,2025-10-26,5,112.51,0.1000,562.55,56.26,506.30,342.25,164.05
50,167,46,7,2025-10-24,6,63.12,0.0500,378.72,18.94,359.78,210.24,149.54
50,168,46,6,2025-10-24,8,39.45,0.1000,315.60,31.56,284.04,241.84,42.20
50,169,46,13,2025-10-24,3,112.51,0.0000,337.53,0.00,337.53,205.35,132.18
50,170,46,13,2025-10-24,1,112.51,0.1000,112.51,11.25,101.26,68.45,32.81
51,171,5,16,2025-10-25,8,132.35,0.0500,1058.80,52.94,1005.86,562.48,443.38
51,172,5,5,2025-10-25,9,127.88,0.1000,1150.92,115.09,1035.83,844.20,191.63
51,173,5,20,2025-10-25,8,123.79,0.1000,990.32,99.03,891.29,603.36,287.93
51,174,5,29,2025-10-25,1,55.53,0.0000,55.53,0.00,55.53,30.35,25.18
51,175,5,22,2025-10-25,1,12.60,0.0500,12.60,0.63,11.97,8.42,3.55
52,176,70,26,2025-10-23,2,147.88,0.0000,295.76,0.00,295.76,152.40,143.36
53,177,10,30,2025-10-22,9,165.77,0.0000,1491.93,0.00,1491.93,790.74,701.19
53,178,10,48,2025-10-22,10,98.28,0.0000,982.80,0.00,982.80,535.60,447.20
53,179,10,5,2025-10-22,1,127.88,0.1000,127.88,12.79,115.09,93.80,21.29
53,180,10,10,2025-10-22,8,168.80,0.1000,1350.40,135.04,1215.36,709.44,505.92
53,181,10,2,2025-10-22,8,95.98,0.1000,767.84,76.78,691.06,553.20,137.86
54,182,59,16,2025-10-22,3,132.35,0.0000,397.05,0.00,397.05,210.93,186.12
55,183,72,41,2025-10-23,1,90.07,0.0500,90.07,4.50,85.57,45.97,39.60
55,184,72,7,2025-10-23,8,63.12,0.1000,504.96,50.50,454.46,280.32,174.14
56,185,5,38,2025-10-22,2,100.72,0.0000,201.44,0.00,201.44,125.18,76.26
56,186,5,8,2025-10-22,8,97.01,0.1000,776.08,77.61,698.47,388.32,310.15
57,187,96,15,2025-10-23,2,51.99,0.0000,103.98,0.00,103.98,61.74,42.24
57,188,96,28,2025-10-23,6,42.75,0.1000,256.50,25.65,230.85,132.24,98.61
57,189,96,44,2025-10-23,7,78.05,0.0500,546.35,27.32,519.03,403.69,115.34
57,190,96,8,2025-10-23,10,97.01,0.1000,970.10,97.01,873.09,485.40,387.69
57,191,96,9,2025-10-23,6,89.98,0.0000,539.88,0.00,539.88,336.48,203.40
58,192,28,38,2025-10-22,3,100.72,0.0500,302.16,15.11,287.05,187.77,99.28
59,193,16,8,2025-10-23,5,97.01,0.0000,485.05,0.00,485.05,242.70,242.35
60,194,27,11,2025-10-21,6,37.31,0.1000,223.86,22.39,201.47,119.94,81.53
60,195,27,11,2025-10-21,8,37.31,0.0000,298.48,0.00,298.48,159.92,138.56
60,196,27,38,2025-10-21,1,100.72,0.0000,100.72,0.00,100.72,62.59,38.13
60,197,27,7,2025-10-21,10,63.12,0.0500,631.20,31.56,599.64,350.40,249.24
61,198,19,2,2025-10-25,8,95.98,0.0000,767.84,0.00,767.84,553.20,214.64
61,199,19,1,2025-10-25,1,17.01,0.0000,17.01,0.00,17.01,12.61,4.40
62,200,3,46,2025-10-24,10,46.34,0.0500,463.40,23.17,440.23,338.70,101.53
63,201,66,45,2025-10-22,8,91.45,0.1000,731.60,73.16,658.44,507.76,150.68
63,202,66,9,2025-10-22,4,89.98,0.0000,359.92,0.00,359.92,224.32,135.60
63,203,66,41,2025-10-22,5,90.07,0.1000,450.35,45.04,405.32,229.85,175.47
63,204,66,29,2025-10-22,7,55.53,0.0000,388.71,0.00,388.71,212.45,176.26
64,205,4,40,2025-10-23,1,100.37,0.1000,100.37,10.04,90.33,54.39,35.94
64,206,4,12,2025-10-23,8,181.74,0.1000,1453.92,145.39,1308.53,787.76,520.77
65,207,19,41,2025-10-21,5,90.07,0.0500,450.35,22.52,427.83,229.85,197.98
66,208,78,1,2025-10-21,9,17.01,0.0000,153.09,0.00,153.09,113.49,39.60
66,209,78,13,2025-10-21,2,112.51,0.1000,225.02,22.50,202.52,136.90,65.62
66,210,78,7,2025-10-21,10,63.12,0.0500,631.20,31.56,599.64,350.40,249.24
66,211,78,49,2025-10-21,9,55.32,0.1000,497.88,49.79,448.09,287.64,160.45
67,212,59,30,2025-10-24,4,165.77,0.0500,663.08,33.15,629.93,351.44,278.49
67,213,59,4,2025-10-24,4,74.72,0.0000,298.88,0.00,298.88,179.32,119.56
68,214,61,44,2025-10-23,8,78.05,0.0500,624.40,31.22,593.18,461.36,131.82
68,215,61,12,2025-10-23,3,181.74,0.1000,545.22,54.52,490.70,295.41,195.29
69,216,72,4,2025-10-25,6,74.72,0.0500,448.32,22.42,425.90,268.98,156.92
70,217,14,28,2025-10-22,5,42.75,0.0500,213.75,10.69,203.06,110.20,92.86
70,218,14,40,2025-10-22,8,100.37,0.0000,802.96,0.00,802.96,435.12,367.84
71,219,36,48,2025-10-25,1,98.28,0.1000,98.28,9.83,88.45,53.56,34.89
72,220,98,11,2025-10-26,1,37.31,0.0500,37.31,1.87,35.44,19.99,15.45
72,221,98,33,2025-10-26,2,39.51,0.0000,79.02,0.00,79.02,62.94,16.08
73,222,82,47,2025-10-24,8,105.63,0.1000,845.04,84.50,760.54,537.60,222.94
73,223,82,38,2025-10-24,6,100.72,0.0500,604.32,30.22,574.10,375.54,198.56
74,224,42,48,2025-10-22,6,98.28,0.0000,589.68,0.00,589.68,321.36,268.32
74,225,42,50,2025-10-22,2,27.21,0.0500,54.42,2.72,51.70,27.74,23.96
75,226,85,7,2025-10-21,4,63.12,0.1000,252.48,25.25,227.23,140.16,87.07
75,227,85,27,2025-10-21,4,180.68,0.0500,722.72,36.14,686.58,390.96,295.62
76,228,37,5,2025-10-24,8,127.88,0.1000,1023.04,102.30,920.74,750.40,170.34
76,229,37,32,2025-10-24,1,45.24,0.0500,45.24,2.26,42.98,26.18,16.80
77,230,39,14,2025-10-23,10,57.59,0.0500,575.90,28.80,547.11,301.20,245.91
77,231,39,12,2025-10-23,7,181.74,0.0500,1272.18,63.61,1208.57,689.29,519.28
78,232,49,30,2025-10-24,4,165.77,0.1000,663.08,66.31,596.77,351.44,245.33
78,233,49,23,2025-10-24,5,56.53,0.0000,282.65,0.00,282.65,229.15,53.50
79,234,10,9,2025-10-24,1,89.98,0.1000,89.98,9.00,80.98,56.08,24.90
79,235,10,37,2025-10-24,1,91.07,0.0500,91.07,4.55,86.52,61.67,24.85
79,236,10,9,2025-10-24,2,89.98,0.0500,179.96,9.00,170.96,112.16,58.80
80,237,22,27,2025-10-24,3,180.68,0.0500,542.04,27.10,514.94,293.22,221.72
80,238,22,15,2025-10-24,5,51.99,0.1000,259.95,26.00,233.96,154.35,79.61
80,239,22,11,2025-10-24,10,37.31,0.0000,373.10,0.00,373.10,199.90,173.20
80,240,22,37,2025-10-24,9,91.07,0.0000,819.63,0.00,819.63,555.03,264.60
81,241,51,27,2025-10-23,9,180.68,0.0500,1626.12,81.31,1544.81,879.66,665.15
82,242,100,38,2025-10-22,8,100.72,0.0500,805.76,40.29,765.47,500.72,264.75
82,243,100,18,2025-10-22,1,121.61,0.1000,121.61,12.16,109.45,65.26,44.19
83,244,98,48,2025-10-21,4,98.28,0.0000,393.12,0.00,393.12,214.24,178.88
83,245,98,21,2025-10-21,7,7.46,0.1000,52.22,5.22,47.00,41.44,5.56
83,246,98,15,2025-10-21,10,51.99,0.0000,519.90,0.00,519.90,308.70,211.20
83,247,98,37,2025-10-21,1,91.07,0.0500,91.07,4.55,86.52,61.67,24.85
84,248,81,3,2025-10-22,8,47.57,0.1000,380.56,38.06,342.50,227.12,115.38
85,249,65,3,2025-10-24,7,47.57,0.1000,332.99,33.30,299.69,198.73,100.96
85,250,65,26,2025-10-24,8,147.88,0.1000,1183.04,118.30,1064.74,609.60,455.14
85,251,65,7,2025-10-24,8,63.12,0.0500,504.96,25.25,479.71,280.32,199.39
85,252,65,16,2025-10-24,2,132.35,0.1000,264.70,26.47,238.23,140.62,97.61
85,253,65,49,2025-10-24,1,55.32,0.1000,55.32,5.53,49.79,31.96,17.83
86,254,65,14,2025-10-22,3,57.59,0.0500,172.77,8.64,164.13,90.36,73.77
86,255,65,19,2025-10-22,4,47.87,0.1000,191.48,19.15,172.33,146.76,25.57
86,256,65,6,2025-10-22,1,39.45,0.0500,39.45,1.97,37.48,30.23,7.25
86,257,65,43,2025-10-22,5,52.49,0.0000,262.45,0.00,262.45,171.90,90.55
87,258,20,37,2025-10-26,10,91.07,0.0000,910.70,0.00,910.70,616.70,294.00
87,259,20,30,2025-10-26,8,165.77,0.0000,1326.16,0.00,1326.16,702.88,623.28
87,260,20,46,2025-10-26,7,46.34,0.0000,324.38,0.00,324.38,237.09,87.29
87,261,20,24,2025-10-26,8,123.67,0.1000,989.36,98.94,890.42,723.20,167.22
88,262,79,41,2025-10-21,2,90.07,0.0500,180.14,9.01,171.13,91.94,79.19
89,263,83,34,2025-10-23,1,100.21,0.0500,100.21,5.01,95.20,65.94,29.26
89,264,83,28,2025-10-23,5,42.75,0.1000,213.75,21.38,192.38,110.20,82.18
89,265,83,40,2025-10-23,9,100.37,0.1000,903.33,90.33,813.00,489.51,323.49
90,266,75,44,2025-10-24,2,78.05,0.1000,156.10,15.61,140.49,115.34,25.15
90,267,75,22,2025-10-24,1,12.60,0.1000,12.60,1.26,11.34,8.42,2.92
91,268,43,4,2025-10-21,2,74.72,0.0500,149.44,7.47,141.97,89.66,52.31
91,269,43,24,2025-10-21,8,123.67,0.1000,989.36,98.94,890.42,723.20,167.22
91,270,43,3,2025-10-21,6,47.57,0.0500,285.42,14.27,271.15,170.34,100.81
92,271,44,42,2025-10-24,9,65.41,0.1000,588.69,58.87,529.82,313.38,216.44
92,272,44,5,2025-10-24,9,127.88,0.1000,1150.92,115.09,1035.83,844.20,191.63
93,273,68,9,2025-10-25,6,89.98,0.0000,539.88,0.00,539.88,336.48,203.40
93,274,68,35,2025-10-25,2,121.77,0.1000,243.54,24.35,219.19,188.46,30.73
94,275,22,48,2025-10-25,10,98.28,0.1000,982.80,98.28,884.52,535.60,348.92
94,276,22,14,2025-10-25,4,57.59,0.0500,230.36,11.52,218.84,120.48,98.36
94,277,22,23,2025-10-25,5,56.53,0.1000,282.65,28.27,254.39,229.15,25.24
94,278,22,44,2025-10-25,7,78.05,0.0500,546.35,27.32,519.03,403.69,115.34
95,279,40,5,2025-10-21,6,127.88,0.0500,767.28,38.36,728.92,562.80,166.12
96,280,21,32,2025-10-22,9,45.24,0.1000,407.16,40.72,366.44,235.62,130.82
96,281,21,8,2025-10-22,8,97.01,0.1000,776.08,77.61,698.47,388.32,310.15
96,282,21,35,2025-10-22,9,121.77,0.0500,1095.93,54.80,1041.13,848.07,193.06
96,283,21,29,2025-10-22,10,55.53,0.0500,555.30,27.77,527.54,303.50,224.04
97,284,92,13,2025-10-22,8,112.51,0.0000,900.08,0.00,900.08,547.60,352.48
98,285,12,26,2025-10-26,3,147.88,0.0500,443.64,22.18,421.46,228.60,192.86
99,286,11,7,2025-10-24,3,63.12,0.0500,189.36,9.47,179.89,105.12,74.77
100,287,61,45,2025-10-23,3,91.45,0.0500,274.35,13.72,260.63,190.41,70.22
101,288,94,14,2025-10-21,9,57.59,0.1000,518.31,51.83,466.48,271.08,195.40
101,289,94,2,2025-10-21,5,95.98,0.0500,479.90,24.00,455.91,345.75,110.16
102,290,80,9,2025-10-22,8,89.98,0.0500,719.84,35.99,683.85,448.64,235.21
102,291,80,27,2025-10-22,8,180.68,0.1000,1445.44,144.54,1300.90,781.92,518.98
102,292,80,42,2025-10-22,1,65.41,0.0500,65.41,3.27,62.14,34.82,27.32
102,293,80,13,2025-10-22,2,112.51,0.0000,225.02,0.00,225.02,136.90,88.12
102,294,80,15,2025-10-22,9,51.99,0.1000,467.91,46.79,421.12,277.83,143.29
103,295,38,27,2025-10-22,10,180.68,0.0500,1806.80,90.34,1716.46,977.40,739.06
103,296,38,42,2025-10-22,6,65.41,0.0500,392.46,19.62,372.84,208.92,163.92
103,297,38,38,2025-10-22,9,100.72,0.1000,906.48,90.65,815.83,563.31,252.52
104,298,68,30,2025-10-24,5,165.77,0.1000,828.85,82.89,745.97,439.30,306.67
104,299,68,9,2025-10-24,5,89.98,0.0000,449.90,0.00,449.90,280.40,169.50
104,300,68,17,2025-10-24,4,55.59,0.0500,222.36,11.12,211.24,115.44,95.80
104,301,68,24,2025-10-24,5,123.67,0.0000,618.35,0.00,618.35,452.00,166.35
105,302,3,23,2025-10-26,5,56.53,0.0500,282.65,14.13,268.52,229.15,39.37
105,303,3,11,2025-10-26,10,37.31,0.0000,373.10,0.00,373.10,199.90,173.20
106,304,70,19,2025-10-23,3,47.87,0.0000,143.61,0.00,143.61,110.07,33.54
