stage_id,order_id,stage_name,employee_id,start_time,end_time,process_minutes
63,21,Shipping,4,2025-10-24 02:46:18,2025-10-24 02:59:18,13
64,22,Picking,19,2025-10-25 23:47:16,2025-10-26 00:28:16,41
65,22,Packing,10,2025-10-26 00:38:16,2025-10-26 00:46:16,8
66,22,Shipping,3,2025-10-26 00:50:16,2025-10-26 01:09:16,19
67,23,Picking,15,2025-10-24 20:02:34,2025-10-24 20:33:34,31
68,23,Packing,10,2025-10-24 20:42:34,2025-10-24 21:01:34,19
69,23,Shipping,19,2025-10-24 21:13:34,2025-10-24 21:51:34,38
70,24,Picking,7,2025-10-23 11:54:41,2025-10-23 12:02:41,8
71,24,Packing,9,2025-10-23 12:11:41,2025-10-23 12:22:41,11
72,24,Shipping,3,2025-10-23 12:28:41,2025-10-23 13:18:41,50
73,25,Picking,20,2025-10-23 14:23:22,2025-10-23 14:38:22,15
74,25,Packing,16,2025-10-23 14:38:22,2025-10-23 15:09:22,31
75,25,Shipping,10,2025-10-23 15:23:22,2025-10-23 16:17:22,54
76,26,Picking,19,2025-10-25 18:10:50,2025-10-25 18:44:50,34
77,26,Packing,7,2025-10-25 18:45:50,2025-10-25 19:04:50,19
78,26,Shipping,14,2025-10-25 19:12:50,2025-10-25 20:12:50,60
79,27,Picking,10,2025-10-24 06:08:05,2025-10-24 06:30:05,22
80,27,Packing,20,2025-10-24 06:32:05,2025-10-24 06:41:05,9
81,27,Shipping,19,2025-10-24 06:42:05,2025-10-24 07:02:05,20
82,28,Picking,3,2025-10-23 03:01:30,2025-10-23 03:25:30,24
83,28,Packing,20,2025-10-23 03:31:30,2025-10-23 03:53:30,22
84,28,Shipping,2,2025-10-23 04:08:30,2025-10-23 04:46:30,38
85,29,Picking,19,2025-10-23 08:22:30,2025-10-23 08:43:30,21
86,29,Packing,19,2025-10-23 08:43:30,2025-10-23 08:53:30,10
87,29,Shipping,1,2025-10-23 09:00:30,2025-10-23 09:53:30,53
88,30,Picking,6,2025-10-23 00:17:59,2025-10-23 00:24:59,7
89,30,Packing,19,2025-10-23 00:26:59,2025-10-23 01:01:59,35
90,30,Shipping,14,2025-10-23 01:15:59,2025-10-23 01:42:59,27
91,31,Picking,4,2025-10-22 21:09:40,2025-10-22 21:36:40,27
92,31,Packing,6,2025-10-22 21:42:40,2025-10-22 22:08:40,26
93,31,Shipping,11,2025-10-22 22:18:40,2025-10-22 23:10:40,52
94,32,Picking,11,2025-10-22 05:21:30,2025-10-22 05:51:30,30
95,32,Packing,9,2025-10-22 05:59:30,2025-10-22 06:06:30,7
96,32,Shipping,11,2025-10-22 06:20:30,2025-10-22 06:35:30,15
97,33,Picking,2,2025-10-25 21:02:52,2025-10-25 21:39:52,37
98,33,Packing,7,2025-10-25 21:39:52,2025-10-25 22:18:52,39
99,33,Shipping,17,2025-10-25 22:32:52,2025-10-25 23:08:52,36
100,34,Picking,5,2025-10-22 15:48:01,2025-10-22 16:21:01,33
101,34,Packing,10,2025-10-22 16:21:01,2025-10-22 16:39:01,18
102,34,Shipping,15,2025-10-22 16:47:01,2025-10-22 17:32:01,45
103,35,Picking,18,2025-10-23 09:03:30,2025-10-23 09:48:30,45
104,35,Packing,1,2025-10-23 09:57:30,2025-10-23 10:17:30,20
105,35,Shipping,18,2025-10-23 10:22:30,2025-10-23 10:51:30,29
106,36,Picking,10,2025-10-22 04:58:53,2025-10-22 05:10:53,12
107,36,Packing,17,2025-10-22 05:20:53,2025-10-22 05:34:53,14
108,36,Shipping,9,2025-10-22 05:49:53,2025-10-22 06:44:53,55
109,37,Picking,20,2025-10-25 23:31:35,2025-10-26 00:05:35,34
110,37,Packing,17,2025-10-26 00:13:35,2025-10-26 00:27:35,14
111,37,Shipping,5,2025-10-26 00:39:35,2025-10-26 01:01:35,22
112,38,Picking,10,2025-10-24 17:28:39,2025-10-24 18:05:39,37
113,38,Packing,19,2025-10-24 18:09:39,2025-10-24 18:14:39,5
114,38,Shipping,19,2025-10-24 18:23:39,2025-10-24 19:19:39,56
115,39,Picking,18,2025-10-26 02:33:18,2025-10-26 03:12:18,39
116,39,Packing,13,2025-10-26 03:19:18,2025-10-26 03:46:18,27
117,39,Shipping,15,2025-10-26 03:56:18,2025-10-26 04:41:18,45
118,40,Picking,16,2025-10-25 16:11:56,2025-10-25 16:40:56,29
119,40,Packing,13,2025-10-25 16:43:56,2025-10-25 17:14:56,31
120,40,Shipping,13,2025-10-25 17:15:56,2025-10-25 17:45:56,30
121,41,Picking,15,2025-10-22 14:34:03,2025-10-22 14:41:03,7
122,41,Packing,4,2025-10-22 14:43:03,2025-10-22 15:20:03,37
123,41,Shipping,17,2025-10-22 15:30:03,2025-10-22 15:46:03,16
124,42,Picking,20,2025-10-22 15:24:54,2025-10-22 15:38:54,14
125,42,Packing,13,2025-10-22 15:39:54,2025-10-22 16:14:54,35
126,42,Shipping,3,2025-10-22 16:22:54,2025-10-22 16:53:54,31
127,43,Picking,3,2025-10-22 18:59:59,2025-10-22 19:24:59,25
128,43,Packing,8,2025-10-22 19:34:59,2025-10-22 20:10:59,36
129,43,Shipping,10,2025-10-22 20:11:59,2025-10-22 21:00:59,49
130,44,Picking,10,2025-10-25 23:06:13,2025-10-25 23:17:13,11
131,44,Packing,1,2025-10-25 23:27:13,2025-10-25 23:38:13,11
132,44,Shipping,2,2025-10-25 23:52:13,2025-10-26 00:12:13,20
133,45,Picking,14,2025-10-24 09:58:11,2025-10-24 10:26:11,28
134,45,Packing,19,2025-10-24 10:32:11,2025-10-24 10:46:11,14
135,45,Shipping,6,2025-10-24 10:53:11,2025-10-24 11:36:11,43
136,46,Picking,5,2025-10-23 04:16:17,2025-10-23 04:45:17,29
137,46,Packing,8,2025-10-23 04:54:17,2025-10-23 05:14:17,20
138,46,Shipping,15,2025-10-23 05:29:17,2025-10-23 06:16:17,47
139,47,Picking,15,2025-10-25 21:18:43,2025-10-25 21:23:43,5
140,47,Packing,12,2025-10-25 21:30:43,2025-10-25 21:53:43,23
141,47,Shipping,19,2025-10-25 21:58:43,2025-10-25 22:12:43,14
142,48,Picking,8,2025-10-25 01:26:05,2025-10-25 01:50:05,24
143,48,Packing,13,2025-10-25 01:53:05,2025-10-25 02:22:05,29
144,48,Shipping,19,2025-10-25 02:37:05,2025-10-25 02:53:05,16
145,49,Picking,16,2025-10-26 01:48:59,2025-10-26 02:18:59,30
146,49,Packing,10,2025-10-26 02:22:59,2025-10-26 02:27:59,5
147,49,Shipping,8,2025-10-26 02:28:59,2025-10-26 03:16:59,48
148,50,Picking,4,2025-10-24 16:09:32,2025-10-24 16:26:32,17
149,50,Packing,2,2025-10-24 16:35:32,2025-10-24 16:56:32,21
150,50,Shipping,10,2025-10-24 17:00:32,2025-10-24 17:50:32,50
151,51,Picking,14,2025-10-25 02:23:02,2025-10-25 02:36:02,13
152,51,Packing,6,2025-10-25 02:37:02,2025-10-25 03:00:02,23
153,51,Shipping,7,2025-10-25 03:10:02,2025-10-25 04:07:02,57
154,52,Picking,10,2025-10-23 04:51:04,2025-10-23 05:28:04,37
155,52,Packing,11,2025-10-23 05:32:04,2025-10-23 05:47:04,15
156,52,Shipping,4,2025-10-23 05:55:04,2025-10-23 06:35:04,40
157,53,Picking,13,2025-10-22 02:31:36,2025-10-22 02:50:36,19
158,53,Packing,1,2025-10-22 03:00:36,2025-10-22 03:30:36,30
159,53,Shipping,9,2025-10-22 03:41:36,2025-10-22 03:56:36,15
160,54,Picking,8,2025-10-22 16:04:25,2025-10-22 16:25:25,21
161,54,Packing,16,2025-10-22 16:34:25,2025-10-22 17:03:25,29
162,54,Shipping,1,2025-10-22 17:14:25,2025-10-22 17:30:25,16
163,55,Picking,10,2025-10-23 07:11:50,2025-10-23 07:55:50,44
164,55,Packing,14,2025-10-23 07:58:50,2025-10-23 08:07:50,9
165,55,Shipping,4,2025-10-23 08:21:50,2025-10-23 09:15:50,54
166,56,Picking,15,2025-10-22 20:43:58,2025-10-22 20:55:58,12
167,56,Packing,12,2025-10-22 20:56:58,2025-10-22 21:16:58,20
168,56,Shipping,18,2025-10-22 21:20:58,2025-10-22 21:54:58,34
169,57,Picking,14,2025-10-23 16:34:37,2025-10-23 17:05:37,31
170,57,Packing,9,2025-10-23 17:15:37,2025-10-23 17:26:37,11
171,57,Shipping,2,2025-10-23 17:41:37,2025-10-23 18:30:37,49
172,58,Picking,12,2025-10-22 13:41:11,2025-10-22 14:01:11,20
173,58,Packing,2,2025-10-22 14:06:11,2025-10-22 14:17:11,11
174,58,Shipping,13,2025-10-22 14:28:11,2025-10-22 15:12:11,44
175,59,Picking,11,2025-10-23 07:11:27,2025-10-23 07:29:27,18
176,59,Packing,8,2025-10-23 07:39:27,2025-10-23 07:45:27,6
177,59,Shipping,5,2025-10-23 07:46:27,2025-10-23 08:46:27,60
178,60,Picking,5,2025-10-21 14:01:49,2025-10-21 14:41:49,40
179,60,Packing,20,2025-10-21 14:44:49,2025-10-21 15:02:49,18
180,60,Shipping,1,2025-10-21 15:09:49,2025-10-21 15:40:49,31
181,61,Picking,1,2025-10-25 18:45:57,2025-10-25 19:06:57,21
182,61,Packing,12,2025-10-25 19:08:57,2025-10-25 19:20:57,12
183,61,Shipping,8,2025-10-25 19:20:57,2025-10-25 19:38:57,18
184,62,Picking,3,2025-10-24 17:08:32,2025-10-24 17:16:32,8
185,62,Packing,16,2025-10-24 17:18:32,2025-10-24 17:49:32,31
186,62,Shipping,15,2025-10-24 17:52:32,2025-10-24 18:49:32,57
187,63,Picking,17,2025-10-22 05:37:17,2025-10-22 06:10:17,33
188,63,Packing,10,2025-10-22 06:18:17,2025-10-22 06:37:17,19
189,63,Shipping,15,2025-10-22 06:38:17,2025-10-22 07:34:17,56
190,64,Picking,15,2025-10-23 03:32:10,2025-10-23 04:02:10,30
191,64,Packing,3,2025-10-23 04:08:10,2025-10-23 04:19:10,11
192,64,Shipping,3,2025-10-23 04:34:10,2025-10-23 05:29:10,55
193,65,Picking,20,2025-10-21 17:50:55,2025-10-21 18:12:55,22
194,65,Packing,17,2025-10-21 18:21:55,2025-10-21 19:01:55,40
195,65,Shipping,10,2025-10-21 19:11:55,2025-10-21 19:45:55,34
196,66,Picking,15,2025-10-21 19:07:39,2025-10-21 19:19:39,12
197,66,Packing,8,2025-10-21 19:29:39,2025-10-21 20:09:39,40
198,66,Shipping,14,2025-10-21 20:15:39,2025-10-21 20:52:39,37
199,67,Picking,9,2025-10-24 20:06:31,2025-10-24 20:17:31,11
200,67,Packing,12,2025-10-24 20:22:31,2025-10-24 20:54:31,32
201,67,Shipping,5,2025-10-24 21:04:31,2025-10-24 21:56:31,52
202,68,Picking,12,2025-10-23 05:42:55,2025-10-23 05:52:55,10
203,68,Packing,5,2025-10-23 05:53:55,2025-10-23 06:25:55,32
204,68,Shipping,18,2025-10-23 06:28:55,2025-10-23 07:25:55,57
205,69,Picking,2,2025-10-25 17:00:19,2025-10-25 17:12:19,12
206,69,Packing,10,2025-10-25 17:18:19,2025-10-25 17:45:19,27
207,69,Shipping,20,2025-10-25 17:58:19,2025-10-25 18:54:19,56
208,70,Picking,12,2025-10-22 06:00:38,2025-10-22 06:18:38,18
209,70,Packing,18,2025-10-22 06:20:38,2025-10-22 06:55:38,35
210,70,Shipping,12,2025-10-22 07:02:38,2025-10-22 07:18:38,16
211,71,Picking,9,2025-10-25 08:12:59,2025-10-25 08:44:59,32
212,71,Packing,1,2025-10-25 08:52:59,2025-10-25 09:32:59,40
213,71,Shipping,6,2025-10-25 09:32:59,2025-10-25 10:20:59,48
214,72,Picking,19,2025-10-26 01:41:11,2025-10-26 02:07:11,26
215,72,Packing,13,2025-10-26 02:12:11,2025-10-26 02:17:11,5
216,72,Shipping,3,2025-10-26 02:22:11,2025-10-26 02:41:11,19
217,73,Picking,11,2025-10-24 10:39:33,2025-10-24 11:17:33,38
218,73,Packing,6,2025-10-24 11:20:33,2025-10-24 11:49:33,29
219,73,Shipping,12,2025-10-24 12:02:33,2025-10-24 12:41:33,39
220,74,Picking,20,2025-10-22 02:39:37,2025-10-22 02:49:37,10
221,74,Packing,2,2025-10-22 02:49:37,2025-10-22 03:03:37,14
222,74,Shipping,3,2025-10-22 03:08:37,2025-10-22 04:06:37,58
223,75,Picking,17,2025-10-21 13:23:22,2025-10-21 14:06:22,43
224,75,Packing,4,2025-10-21 14:13:22,2025-10-21 14:44:22,31
225,75,Shipping,12,2025-10-21 14:52:22,2025-10-21 15:15:22,23
226,76,Picking,13,2025-10-24 23:12:26,2025-10-24 23:50:26,38
227,76,Packing,20,2025-10-25 00:00:26,2025-10-25 00:24:26,24
228,76,Shipping,2,2025-10-25 00:25:26,2025-10-25 00:49:26,24
229,77,Picking,1,2025-10-23 05:18:47,2025-10-23 05:31:47,13
230,77,Packing,16,2025-10-23 05:35:47,2025-10-23 05:58:47,23
231,77,Shipping,14,2025-10-23 06:08:47,2025-10-23 06:25:47,17
232,78,Picking,13,2025-10-24 08:11:51,2025-10-24 08:30:51,19
233,78,Packing,2,2025-10-24 08:38:51,2025-10-24 09:18:51,40
234,78,Shipping,14,2025-10-24 09:29:51,2025-10-24 09:43:51,14
235,79,Picking,4,2025-10-24 09:24:16,2025-10-24 09:56:16,32
236,79,Packing,13,2025-10-24 10:05:16,2025-10-24 10:35:16,30
237,79,Shipping,1,2025-10-24 10:48:16,2025-10-24 11:16:16,28
238,80,Picking,14,2025-10-24 03:43:04,2025-10-24 04:11:04,28
239,80,Packing,19,2025-10-24 04:12:04,2025-10-24 04:44:04,32
240,80,Shipping,13,2025-10-24 04:47:04,2025-10-24 05:12:04,25
241,81,Picking,17,2025-10-23 13:29:20,2025-10-23 13:55:20,26
242,81,Packing,4,2025-10-23 13:58:20,2025-10-23 14:24:20,26
243,81,Shipping,17,2025-10-23 14:29:20,2025-10-23 14:43:20,14
244,82,Picking,7,2025-10-22 14:18:11,2025-10-22 14:32:11,14
245,82,Packing,6,2025-10-22 14:35:11,2025-10-22 14:46:11,11
246,82,Shipping,20,2025-10-22 14:50:11,2025-10-22 15:16:11,26
247,83,Picking,19,2025-10-21 18:45:08,2025-10-21 19:30:08,45
248,83,Packing,20,2025-10-21 19:37:08,2025-10-21 20:11:08,34
249,83,Shipping,11,2025-10-21 20:25:08,2025-10-21 21:18:08,53
250,84,Picking,10,2025-10-23 00:00:23,2025-10-23 00:33:23,33
251,84,Packing,9,2025-10-23 00:34:23,2025-10-23 01:09:23,35
252,84,Shipping,19,2025-10-23 01:23:23,2025-10-23 02:13:23,50
253,85,Picking,10,2025-10-24 08:58:39,2025-10-24 09:32:39,34
254,85,Packing,3,2025-10-24 09:39:39,2025-10-24 09:46:39,7
255,85,Shipping,3,2025-10-24 09:47:39,2025-10-24 10:20:39,33
256,86,Picking,7,2025-10-22 04:11:06,2025-10-22 04:53:06,42
257,86,Packing,11,2025-10-22 05:01:06,2025-10-22 05:08:06,7
258,86,Shipping,20,2025-10-22 05:22:06,2025-10-22 06:08:06,46
259,87,Picking,8,2025-10-26 11:16:57,2025-10-26 11:27:57,11
260,87,Packing,15,2025-10-26 11:32:57,2025-10-26 11:42:57,10
261,87,Shipping,15,2025-10-26 11:47:57,2025-10-26 11:59:57,12
262,88,Picking,11,2025-10-21 20:59:10,2025-10-21 21:27:10,28
263,88,Packing,20,2025-10-21 21:31:10,2025-10-21 22:00:10,29
264,88,Shipping,2,2025-10-21 22:13:10,2025-10-21 23:12:10,59
265,89,Picking,9,2025-10-23 21:30:38,2025-10-23 21:56:38,26
266,89,Packing,20,2025-10-23 21:57:38,2025-10-23 22:37:38,40
267,89,Shipping,5,2025-10-23 22:49:38,2025-10-23 23:17:38,28
268,90,Picking,3,2025-10-24 11:40:08,2025-10-24 12:07:08,27
269,90,Packing,10,2025-10-24 12:11:08,2025-10-24 12:41:08,30
270,90,Shipping,18,2025-10-24 12:45:08,2025-10-24 13:33:08,48
271,91,Picking,12,2025-10-21 22:34:32,2025-10-21 23:12:32,38
272,91,Packing,10,2025-10-21 23:13:32,2025-10-21 23:45:32,32
273,91,Shipping,6,2025-10-21 23:56:32,2025-10-22 00:07:32,11
274,92,Picking,4,2025-10-24 23:19:17,2025-10-24 23:38:17,19
275,92,Packing,17,2025-10-24 23:40:17,2025-10-24 23:54:17,14
276,92,Shipping,18,2025-10-24 23:56:17,2025-10-25 00:24:17,28
277,93,Picking,6,2025-10-25 07:27:22,2025-10-25 07:53:22,26
278,93,Packing,6,2025-10-25 08:02:22,2025-10-25 08:15:22,13
279,93,Shipping,20,2025-10-25 08:27:22,2025-10-25 08:46:22,19
280,94,Picking,10,2025-10-25 15:05:30,2025-10-25 15:36:30,31
281,94,Packing,15,2025-10-25 15:41:30,2025-10-25 16:01:30,20
282,94,Shipping,8,2025-10-25 16:15:30,2025-10-25 17:04:30,49
283,95,Picking,10,2025-10-21 19:50:38,2025-10-21 20:07:38,17
284,95,Packing,13,2025-10-21 20:12:38,2025-10-21 20:45:38,33
285,95,Shipping,17,2025-10-21 20:59:38,2025-10-21 21:58:38,59
286,96,Picking,16,2025-10-22 10:02:00,2025-10-22 10:45:00,43
287,96,Packing,12,2025-10-22 10:47:00,2025-10-22 11:08:00,21
288,96,Shipping,18,2025-10-22 11:09:00,2025-10-22 12:00:00,51
289,97,Picking,15,2025-10-22 09:42:54,2025-10-22 09:54:54,12
290,97,Packing,17,2025-10-22 09:58:54,2025-10-22 10:08:54,10
291,97,Shipping,5,2025-10-22 10:13:54,2025-10-22 10:40:54,27
292,98,Picking,13,2025-10-26 10:05:04,2025-10-26 10:38:04,33
293,98,Packing,17,2025-10-26 10:43:04,2025-10-26 10:49:04,6
294,98,Shipping,12,2025-10-26 11:02:04,2025-10-26 11:15:04,13
295,99,Picking,5,2025-10-24 21:17:22,2025-10-24 21:23:22,6
296,99,Packing,5,2025-10-24 21:28:22,2025-10-24 21:39:22,11
297,99,Shipping,2,2025-10-24 21:49:22,2025-10-24 22:49:22,60
298,100,Picking,9,2025-10-23 08:08:09,2025-10-23 08:43:09,35
299,100,Packing,7,2025-10-23 08:50:09,2025-10-23 08:55:09,5
300,100,Shipping,5,2025-10-23 08:57:09,2025-10-23 09:08:09,11
301,101,Picking,4,2025-10-22 00:02:31,2025-10-22 00:34:31,32
302,101,Packing,2,2025-10-22 00:35:31,2025-10-22 00:58:31,23
303,101,Shipping,8,2025-10-22 01:05:31,2025-10-22 01:34:31,29
304,102,Picking,17,2025-10-22 23:17:55,2025-10-22 23:29:55,12
305,102,Packing,19,2025-10-22 23:36:55,2025-10-23 00:15:55,39
306,102,Shipping,8,2025-10-23 00:15:55,2025-10-23 01:05:55,50
307,103,Picking,3,2025-10-22 04:20:14,2025-10-22 05:04:14,44
308,103,Packing,17,2025-10-22 05:09:14,2025-10-22 05:29:14,20
309,103,Shipping,12,2025-10-22 05:42:14,2025-10-22 06:03:14,21
310,104,Picking,2,2025-10-24 20:53:42,2025-10-24 21:30:42,37
311,104,Packing,13,2025-10-24 21:38:42,2025-10-24 21:44:42,6
312,104,Shipping,12,2025-10-24 21:56:42,2025-10-24 22:36:42,40
313,105,Picking,19,2025-10-26 03:15:00,2025-10-26 03:24:00,9
314,105,Packing,11,2025-10-26 03:29:00,2025-10-26 03:49:00,20
315,105,Shipping,5,2025-10-26 03:52:00,2025-10-26 04:51:00,59
316,106,Picking,6,2025-10-24 00:33:47,2025-10-24 00:49:47,16
317,106,Packing,5,2025-10-24 00:59:47,2025-10-24 01:33:47,34
318,106,Shipping,3,2025-10-24 01:48:47,2025-10-24 02:38:47,50
319,107,Picking,10,2025-10-25 03:41:17,2025-10-25 03:58:17,17
320,107,Packing,17,2025-10-25 03:58:17,2025-10-25 04:15:17,17
321,107,Shipping,13,2025-10-25 04:16:17,2025-10-25 04:46:17,30
322,108,Picking,2,2025-10-25 02:10:14,2025-10-25 02:17:14,7
323,108,Packing,11,2025-10-25 02:27:14,2025-10-25 02:44:14,17
324,108,Shipping,9,2025-10-25 02:53:14,2025-10-25 03:25:14,32
325,109,Picking,16,2025-10-26 07:10:47,2025-10-26 07:40:47,30
326,109,Packing,16,2025-10-26 07:47:47,2025-10-26 08:16:47,29
327,109,Shipping,12,2025-10-26 08:26:47,2025-10-26 08:47:47,21
328,110,Picking,6,2025-10-25 06:00:01,2025-10-25 06:10:01,10
329,110,Packing,18,2025-10-25 06:16:01,2025-10-25 06:26:01,10
330,110,Shipping,10,2025-10-25 06:39:01,2025-10-25 07:27:01,48
331,111,Picking,15,2025-10-22 20:39:17,2025-10-22 21:02:17,23
332,111,Packing,12,2025-10-22 21:06:17,2025-10-22 21:39:17,33
333,111,Shipping,15,2025-10-22 21:52:17,2025-10-22 22:12:17,20
334,112,Picking,13,2025-10-26 04:30:18,2025-10-26 04:52:18,22
335,112,Packing,12,2025-10-26 05:02:18,2025-10-26 05:10:18,8
336,112,Shipping,17,2025-10-26 05:12:18,2025-10-26 06:04:18,52
337,113,Picking,3,2025-10-24 16:11:30,2025-10-24 16:17:30,6
338,113,Packing,8,2025-10-24 16:19:30,2025-10-24 16:52:30,33
339,113,Shipping,12,2025-10-24 16:53:30,2025-10-24 17:11:30,18
340,114,Picking,15,2025-10-23 19:06:59,2025-10-23 19:20:59,14
341,114,Packing,3,2025-10-23 19:30:59,2025-10-23 20:03:59,33
342,114,Shipping,19,2025-10-23 20:14:59,2025-10-23 20:47:59,33
343,115,Picking,6,2025-10-24 05:01:51,2025-10-24 05:23:51,22
344,115,Packing,16,2025-10-24 05:26:51,2025-10-24 05:38:51,12
345,115,Shipping,17,2025-10-24 05:38:51,2025-10-24 06:35:51,57
346,116,Picking,16,2025-10-24 03:49:45,2025-10-24 04:10:45,21
347,116,Packing,7,2025-10-24 04:17:45,2025-10-24 04:35:45,18
348,116,Shipping,4,2025-10-24 04:44:45,2025-10-24 05:38:45,54
349,117,Picking,3,2025-10-23 06:34:30,2025-10-23 07:07:30,33
350,117,Packing,18,2025-10-23 07:08:30,2025-10-23 07:33:30,25
351,117,Shipping,18,2025-10-23 07:44:30,2025-10-23 08:39:30,55
352,118,Picking,7,2025-10-25 01:32:48,2025-10-25 02:17:48,45
353,118,Packing,5,2025-10-25 02:19:48,2025-10-25 02:47:48,28
354,118,Shipping,8,2025-10-25 02:54:48,2025-10-25 03:11:48,17
355,119,Picking,3,2025-10-24 02:07:22,2025-10-24 02:48:22,41
356,119,Packing,3,2025-10-24 02:53:22,2025-10-24 03:27:22,34
357,119,Shipping,10,2025-10-24 03:31:22,2025-10-24 04:20:22,49
358,120,Picking,3,2025-10-23 08:06:39,2025-10-23 08:37:39,31
359,120,Packing,15,2025-10-23 08:43:39,2025-10-23 08:52:39,9
360,120,Shipping,15,2025-10-23 08:56:39,2025-10-23 09:26:39,30
361,121,Picking,17,2025-10-24 22:49:57,2025-10-24 23:29:57,40
362,121,Packing,2,2025-10-24 23:39:57,2025-10-24 23:55:57,16
363,121,Shipping,4,2025-10-24 23:59:57,2025-10-25 00:36:57,37
